Nodes on the 9-th layer
Polyline 1, Number of points: 81
x y thickness
19.799519 1.333495 0.132612
19.299521 1.334987 0.132900
18.799521 1.335186 0.132763
18.299521 1.334908 0.132823
17.799524 1.333480 0.132662
17.299532 1.330638 0.132317
16.799543 1.327355 0.132014
16.299552 1.324204 0.131808
15.799567 1.320410 0.131445
15.299588 1.315782 0.130961
14.799610 1.311119 0.130595
14.299632 1.306414 0.130162
13.799654 1.301720 0.129531
13.299667 1.298151 0.129335
12.799678 1.294966 0.129114
12.299685 1.292487 0.128509
11.799686 1.293365 0.128919
11.299690 1.295193 0.129049
10.799692 1.296615 0.129648
10.299697 1.294823 0.129321
9.799708 1.291547 0.128336
9.299709 1.291068 0.128931
8.799711 1.289841 0.128624
8.299713 1.288504 0.128270
7.799713 1.288328 0.128346
7.299713 1.288865 0.128454
6.799715 1.290314 0.128493
6.299722 1.292826 0.128822
5.799729 1.295457 0.129021
5.299751 1.299887 0.129501
4.799786 1.305642 0.130125
4.299813 1.310720 0.130151
3.799866 1.318027 0.131261
3.299910 1.324638 0.131874
2.799934 1.329351 0.132637
2.299936 1.330587 0.132528
1.799964 1.326631 0.132925
1.300413 1.306502 0.132068
1.000000 1.282133 0.126667


Nodes on the 12-th layer
Polyline 1, Number of points: 83
x y thickness
41.750000 0.875327 0.511208
41.295110 1.081572 0.109510
40.819345 1.234958 0.117278
40.339399 1.374982 0.125478
39.849290 1.470670 0.131045
39.350278 1.492201 0.132444
38.850543 1.477074 0.131144
38.351029 1.455136 0.130579
37.851234 1.441018 0.130329
37.351373 1.429401 0.129293
36.851396 1.425164 0.129020
36.351413 1.421083 0.128685
35.851416 1.420786 0.128872
35.351418 1.419705 0.128772
34.851420 1.420160 0.128539
34.351421 1.421318 0.128779
33.851426 1.423512 0.128963
33.351441 1.427348 0.129365
32.851449 1.430030 0.129576
32.351462 1.433617 0.129666
31.851475 1.436988 0.130220
31.351476 1.437129 0.129967
30.851479 1.435635 0.130017
30.351491 1.432131 0.129848
29.851502 1.428845 0.129429
29.351512 1.425655 0.129221
28.851514 1.424471 0.129083
28.351514 1.424714 0.129063
27.851516 1.425890 0.129399
27.351521 1.428140 0.129699
26.851533 1.431499 0.129963
26.351545 1.435072 0.130420
25.851561 1.439040 0.130823
25.351575 1.442793 0.131383
24.851585 1.445921 0.131597
24.351595 1.448993 0.131803
23.851604 1.452023 0.132156
23.351612 1.454836 0.132249
22.851615 1.456666 0.132224
22.351616 1.457454 0.132001
21.851616 1.458076 0.131750
21.351618 1.459194 0.131913
20.851622 1.461313 0.132182
20.351628 1.463694 0.132353
19.851632 1.465829 0.132533
19.351636 1.467598 0.132766
18.851636 1.467928 0.132763
18.351636 1.467604 0.132667
17.851639 1.466128 0.132499
17.351647 1.463209 0.132273
16.851659 1.459802 0.132102
16.351671 1.456308 0.131773
15.851688 1.452193 0.131383
15.351713 1.447239 0.130969
14.851738 1.442209 0.130598
14.351765 1.437072 0.130162
13.851791 1.431903 0.129687
13.351808 1.427886 0.129360
12.851820 1.424468 0.129167
12.351829 1.421550 0.128803
11.851831 1.422322 0.129049
11.351834 1.423932 0.128929
10.851837 1.425633 0.129166
10.351844 1.424141 0.129131
9.851859 1.420350 0.128458
9.351860 1.419471 0.128353
8.851861 1.418871 0.128902
8.351864 1.417219 0.128575
7.851864 1.416752 0.128406
7.351865 1.417365 0.128556
6.851867 1.418556 0.128392
6.351874 1.421309 0.128744
5.851884 1.424454 0.129270
5.351905 1.428794 0.129364
4.851944 1.434930 0.129879
4.351975 1.440425 0.130227
3.852040 1.448470 0.131192
3.352090 1.455546 0.131587
2.852123 1.461065 0.132200
2.352126 1.462622 0.132164
1.852155 1.458772 0.131725
1.352624 1.438405 0.129694
1.000000 1.409757 0.127206


Nodes on the 13-th layer
Polyline 1, Number of points: 83
x y thickness
41.750000 0.989287 0.103790
41.297000 1.199120 0.112457
40.822886 1.357688 0.118810
40.344464 1.502764 0.126386
39.854547 1.598928 0.128366
39.355540 1.621901 0.129806
38.855801 1.607407 0.130114
38.356255 1.586201 0.130709
37.856478 1.571378 0.130160
37.356633 1.559129 0.129571
36.856660 1.554394 0.129180
36.356681 1.549913 0.128783
35.856683 1.549550 0.128760
35.356685 1.548384 0.128667
34.856687 1.548899 0.128744
34.356688 1.550221 0.128915
33.856694 1.552566 0.129076
33.356711 1.556566 0.129255
32.856720 1.559616 0.129612
32.356735 1.563368 0.129785
31.856751 1.567279 0.130324
31.356753 1.567309 0.130181
30.856756 1.565522 0.129870
30.356768 1.562070 0.129898
29.856782 1.558338 0.129455
29.356794 1.554924 0.129233
28.856797 1.553677 0.129193
28.356797 1.553855 0.129144
27.856799 1.555288 0.129410
27.356805 1.557700 0.129582
26.856817 1.561175 0.129708
26.356833 1.565139 0.130102
25.856851 1.569430 0.130428
25.356868 1.573535 0.130778
24.856880 1.576905 0.131015
24.356890 1.580089 0.131126
23.856901 1.583494 0.131501
23.356910 1.586428 0.131620
22.856914 1.588327 0.131679
22.356915 1.589213 0.131767
21.856915 1.589889 0.131819
21.356917 1.591170 0.131987
20.856922 1.593486 0.132195
20.356929 1.596022 0.132352
19.856934 1.598362 0.132554
19.356938 1.600305 0.132725
18.856939 1.600699 0.132775
18.356939 1.600314 0.132706
17.856942 1.598654 0.132509
17.356952 1.595560 0.132318
16.856964 1.591989 0.132147
16.356979 1.588184 0.131835
15.857000 1.583630 0.131389
15.357028 1.578297 0.130998
14.857058 1.572844 0.130574
14.357089 1.567258 0.130124
13.857120 1.561732 0.129767
13.357139 1.557386 0.129453
12.857154 1.553566 0.129058
12.357164 1.550494 0.128911
11.857167 1.551381 0.129066
11.357169 1.552880 0.128964
10.857173 1.554748 0.129132
10.357182 1.553113 0.128955
9.857201 1.548956 0.128562
9.357202 1.547939 0.128459
8.857203 1.547611 0.128733
8.357205 1.545930 0.128693
7.857206 1.545336 0.128579
7.357207 1.545921 0.128563
6.857209 1.547102 0.128559
6.357218 1.550094 0.128812
5.857231 1.553650 0.129227
5.357252 1.558143 0.129391
4.857295 1.564635 0.129762
4.357336 1.571000 0.130627
3.857407 1.579417 0.131016
3.357464 1.586939 0.131455
2.857501 1.592855 0.131841
2.357506 1.594638 0.132032
1.857546 1.589868 0.131051
1.358078 1.567998 0.129264
1.000000 1.537634 0.127458


Nodes on the 14-th layer
Polyline 1, Number of points: 84
x y thickness
41.904712 1.000000 0.155082
41.473194 1.249360 0.119642
41.003552 1.420693 0.117056
40.529072 1.578370 0.125924
40.044723 1.700971 0.136761
39.547623 1.749132 0.135930
39.047767 1.745482 0.132451
38.548236 1.723946 0.129479
38.048517 1.707259 0.130128
37.548735 1.692542 0.128666
37.048792 1.685545 0.129326
36.548820 1.680241 0.128601
36.048828 1.678147 0.128457
35.548829 1.677301 0.128469
35.048830 1.677244 0.128543
34.548832 1.678760 0.129047
34.048836 1.680605 0.128939
33.548848 1.684107 0.129075
33.048864 1.688075 0.129629
32.548875 1.691342 0.129413
32.048902 1.696546 0.130765
31.548909 1.698225 0.130928
31.048912 1.696350 0.130141
30.548921 1.693446 0.130046
30.048937 1.689479 0.129703
29.548954 1.685299 0.129060
29.048960 1.683122 0.128965
28.548960 1.682888 0.129101
28.048961 1.683923 0.129185
27.548966 1.686075 0.129300
27.048975 1.689076 0.129234
26.548993 1.693228 0.129608
26.049013 1.697735 0.129949
25.549034 1.702289 0.130328
25.049049 1.706202 0.130589
24.549060 1.709483 0.130615
24.049073 1.713142 0.130954
23.549086 1.716704 0.131401
23.049092 1.719088 0.131490
22.549094 1.720547 0.131675
22.049095 1.721352 0.131722
21.549096 1.722525 0.131847
21.049101 1.724604 0.132006
20.549108 1.727392 0.132343
20.049115 1.729931 0.132467
19.549121 1.732403 0.132844
19.049122 1.733479 0.132931
18.549123 1.733318 0.132856
18.049124 1.732129 0.132837
17.549133 1.729260 0.132508
17.049146 1.725629 0.132264
16.549161 1.721711 0.132061
16.049183 1.717105 0.131719
15.549213 1.711557 0.131202
15.049248 1.705698 0.130750
14.549284 1.699690 0.130277
14.049320 1.693697 0.129833
13.549346 1.688545 0.129483
13.049365 1.684256 0.129218
12.549382 1.680133 0.128455
12.049385 1.679591 0.128551
11.549388 1.681480 0.129175
11.049391 1.683061 0.129031
10.549395 1.683651 0.129908
10.049421 1.678743 0.128185
9.549426 1.676851 0.128520
9.049426 1.676244 0.128507
8.549427 1.675433 0.128856
8.049429 1.674194 0.128629
7.549429 1.674318 0.128622
7.049430 1.675043 0.128395
6.549437 1.677627 0.128682
6.049451 1.681391 0.129105
5.549467 1.685339 0.128918
5.049507 1.691588 0.129438
4.549560 1.698845 0.130281
4.049630 1.707198 0.130999
3.549694 1.715179 0.131117
3.049753 1.722869 0.132280
2.549767 1.726291 0.132338
2.049776 1.724860 0.133151
1.550063 1.708950 0.132419
1.051579 1.671158 0.128688
1.000000 1.666125 0.128031


Nodes on the 15-th layer
Polyline 1, Number of points: 84
x y thickness
42.000000 1.057473 0.111279
41.575590 1.319039 0.111562
41.111024 1.502984 0.114139
40.639553 1.669403 0.121228
40.159011 1.805904 0.129770
39.664029 1.871491 0.133015
39.164267 1.878049 0.131714
38.664641 1.859029 0.129944
38.164953 1.841409 0.130190
37.665210 1.825447 0.129419
37.165298 1.816515 0.129327
36.665333 1.810662 0.129177
36.165348 1.807191 0.128554
35.665349 1.806104 0.128605
35.165350 1.805831 0.128573
34.665352 1.807326 0.128918
34.165356 1.809150 0.128974
33.665366 1.812286 0.128991
33.165384 1.816527 0.129373
32.665399 1.820375 0.129791
32.165424 1.825275 0.129935
31.665439 1.828635 0.130801
31.165443 1.827077 0.130289
30.665451 1.824136 0.130012
30.165466 1.820310 0.129902
29.665489 1.815543 0.129265
29.165499 1.812593 0.128962
28.665500 1.812033 0.129091
28.165500 1.812685 0.129003
27.665505 1.814728 0.129153
27.165513 1.817565 0.129187
26.665530 1.821709 0.129444
26.165553 1.826470 0.129780
25.665575 1.831139 0.129906
25.165593 1.835487 0.130193
